Material_Name,Source_File,LABORATORY,TEST IDENT,OPERATOR,MATERIAL,ORIENTATION,HEAT FLUX,SURF AREA,C FACTOR,SPEC HOLDER DIFF,SPECIMEN MASS,SCAN TIME,O2 DELAY TIME,CO DELAY TIME,CO2 DELAY TIME,FLOW FACTOR,SCAN COUNT,TIME TO IGN,END OF TEST SCAN,END OF TEST TIME,TEST STATUS,PRE TEST CMT,POST TEST CMT,,POST TEST CMT
Asphalt_Shingle,Asphalt_Shingle_Cone_HF25Scalar_220415_R2.csv,FSRI,Shingles_HF25_2,Dow,Fiberglass asphalt shingles,Horizontal,25,0.009999999776,0.04036645219,-566,37.97999954,0.25,11,11,8,1,2660,88.75,2180,545,1,Dimensions: 100.76 x 101.77 x 2.53 mm,,,
Asphalt_Shingle,Asphalt_Shingle_Cone_HF25Scalar_220415_R3.csv,FSRI,Shingles_HF25_3,Dow,Fiberglass asphalt shingles,Horizontal,25,0.009999999776,0.04036645219,-566,36.31999969,0.25,11,11,8,1,1605,88.5,1125,281.25,1,Dimensions: 100.64 x 101.73 x 2.53 mm,,,
Asphalt_Shingle,Asphalt_Shingle_Cone_HF50Scalar_220415_R1.csv,FSRI,Shingles_HF50_1,Dow,Fiberglass asphalt shingles,Horizontal,50,0.009999999776,0.03971818089,-566,36.61000061,0.25,11,11,8,1,833,28.75,353,88.25,1,Dimensions: 101.39 x 101.28 x 2.34 mm,,,
Asphalt_Shingle,Asphalt_Shingle_Cone_HF50Scalar_220415_R2.csv,FSRI,Shingles_HF50_2,Dow,Fiberglass asphalt shingles,Horizontal,50,0.009999999776,0.03971818089,-566,36.95000076,0.25,11,11,8,1,858,26,378,94.5,1,Dimensions: 100.51 x 101.47 x 2.51 mm,,,
Asphalt_Shingle,Asphalt_Shingle_Cone_HF50Scalar_220415_R3.csv,FSRI,Shingles_HF50_3,Dow,Fiberglass asphalt shingles,Horizontal,50,0.009999999776,0.03971818089,-566,36.25,0.25,11,11,8,1,845,26,365,91.25,1,Dimensions: 101.56 x 100.75 x 2.49 mm,,,
Asphalt_Shingle,Asphalt_Shingle_Cone_HF75Scalar_220415_R1.csv,FSRI,Shingles_HF75_1,Dow,Fiberglass asphalt shingles,Horizontal,75,0.009999999776,0.03971818089,-566,36.25,0.25,11,11,8,1,746,14.75,266,66.5,1,Dimensions: 100.93 x 100.95 x 2.54 mm,,,
Asphalt_Shingle,Asphalt_Shingle_Cone_HF75Scalar_220415_R2.csv,FSRI,Shingles_HF75_2,Dow,Fiberglass asphalt shingles,Horizontal,75,0.009999999776,0.03971818089,-566,36.27000046,0.25,11,11,8,1,741,14,261,65.25,1,Dimensions: 100.37 x 101.79 x 2.53 mm,,,
Asphalt_Shingle,Asphalt_Shingle_Cone_HF75Scalar_220415_R3.csv,FSRI,Shingles_HF75_3,Dow,Fiberglass asphalt shingles,Horizontal,75,0.009999999776,0.03971818089,-566,37.52000046,0.25,11,11,8,1,770,15,290,72.5,1,Dimensions: 100.96 x 100.75 x 2.47 mm,,,
Basswood_Panel,Basswood_Panel_Cone_HF25Scalar_221212_R1.csv,FSRI,Basswood_HF25_1,Dow,Basswood panel,Horizontal,25,0.009999999776,0.03806118667,-566,81.81999969,0.25,11,11,8,1,3809,88,3329,832.25,1,Dimensions: 100.97 x 101.10 x 18.99 mm,Sample warped dramatically into arched shape during last minute prior to extinguishment.,,
Basswood_Panel,Basswood_Panel_Cone_HF25Scalar_221212_R2.csv,FSRI,Basswood_HF25_2,Dow,Basswood panel,Horizontal,25,0.009999999776,0.03806118667,-566,82.90000153,0.25,11,11,8,1,4125,96.5,3645,911.25,1,Dimensions: 101.27 x 101.11 x 19.16 mm; with tie wires,,,
Basswood_Panel,Basswood_Panel_Cone_HF25Scalar_221212_R3.csv,FSRI,Basswood_HF25_3,Dow,Basswood panel,Horizontal,25,0.009999999776,0.03806118667,-566,83.19999695,0.25,11,11,8,1,4277,113,3797,949.25,1,Dimensions: 101.22 x 101.10 x 19.14 mm; with tie wires,,,
Basswood_Panel,Basswood_Panel_Cone_HF25Scalar_221212_R4.csv,FSRI,Basswood_HF25_4,Dow,Basswood Panel,Horizontal,25,0.009999999776,0.03894930333,-566,79.80000305,0.25,11,11,8,1,4076,92.5,3596,899,1,Dimensions: 101.27 x 101.20 x 19.01 mm; with tie wires,,,
Basswood_Panel,Basswood_Panel_Cone_HF50Scalar_221212_R1.csv,FSRI,Basswood_HF50_1,Dow,Basswood Panel,Horizontal,50,0.009999999776,0.03894930333,-566,80.12,0.25,11,11,8,1,2999,14.5,2519,629.75,1,Dimensions: 101.20 x 101.13 x 18.99 mm; with tie wires,,,
Basswood_Panel,Basswood_Panel_Cone_HF50Scalar_221212_R2.csv,FSRI,Basswood_HF50_2,Dow,Basswood Panel,Horizontal,50,0.009999999776,0.03894930333,-566,78.65000153,0.25,11,11,8,1,3000,13.75,2520,630,1,Dimensions: 101.13 x 101.19 x 18.86 mm; with tie wires,,,
Basswood_Panel,Basswood_Panel_Cone_HF50Scalar_221219_R3.csv,FSRI,Basswood_HF50_3,Dow,Basswood Panel,Horizontal,50,0.009999999776,0.03894930333,-566,87.31999969,0.25,11,11,8,1,3449,16.25,2969,742.25,1,Dimensions: 101.17 x 101.39 x 19.03 mm; with tie wires,,,
Basswood_Panel,Basswood_Panel_Cone_HF75Scalar_221219_R1.csv,FSRI,Basswood_HF75_1,Dow,Basswood Panel,Horizontal,75,0.009999999776,0.03861304745,-566,82.86000061,0.25,11,11,8,1,2629,6.5,2149,537.25,1,Dimensions: 101.17 x 101.14 x 19.09 mm; with tie wires,,,
Basswood_Panel,Basswood_Panel_Cone_HF75Scalar_221219_R2.csv,FSRI,Basswood_HF75_2,Dow,Basswood Panel,Horizontal,75,0.009999999776,0.03861304745,-566,79.12000275,0.25,11,11,8,1,2436,5.75,1956,489,1,Dimensions: 101.15 x 101.14 x 18.92 mm; with tie wires,,,
Basswood_Panel,Basswood_Panel_Cone_HF75Scalar_221219_R3.csv,FSRI,Basswood_HF75_3,Dow,Basswood Panel,Horizontal,75,0.009999999776,0.03861304745,-566,88.22000122,0.25,11,11,8,1,2668,6.5,2188,547,1,Dimensions: 101.35 x 101.15 x 19.10 mm; with tie wires,,,
Black_PMMA,Black_PMMA_Cone_HF25Scalar_220309_R1.csv,FSRI,Black_PMMA_HF25_1,Dow,black PMMA,Horizontal,25,0.009999999776,0.03748675436,-85.1000061,103.5999985,0.25,11,11,8,1,3297,109.5,2817,704.25,1,Dimensions: 100.83 x 100.80 x 8.25 mm,,,
Black_PMMA,Black_PMMA_Cone_HF25Scalar_220315_R2.csv,FSRI,BlackPMMA_HF25_2,Dow,Black PMMA,Horizontal,25,0.009999999776,0.03946818784,-566,100.6999969,0.25,11,11,8,1,3153,119,2673,668.25,1,Dimensions: 100.93 x 100.99 x 8.27 mm,,,
Black_PMMA,Black_PMMA_Cone_HF25Scalar_220315_R3.csv,FSRI,BlackPMMA_HF25_3,Dow,Black PMMA,Horizontal,25,0.009999999776,0.03946818784,-566,102.5,0.25,11,11,8,1,3132,116.75,2652,663,1,Dimensions: 100.17 x 100.94 x 8.38 mm,,,
Black_PMMA,Black_PMMA_Cone_HF25Scalar_220909_R4.csv,FSRI,PMMA_HF25,Dow,Black PMMA,Horizontal,25,0.009999999776,0.04248954728,-566,101.4300003,0.25,11,11,8,1,3045,102.25,2565,641.25,1,Dimensions: 101.14 x 100.87 x 8.32 mm,sample slightly preheated due to false start with shutter,,
Black_PMMA,Black_PMMA_Cone_HF25Scalar_221219_R5.csv,FSRI,Black_PMMA_HF25_5,Dow,Black PMMA,Horizontal,25,0.009999999776,0.03894930333,-566,101.4499969,0.25,11,11,8,1,3035,108,2555,638.75,1,Dimensions: 100.86 x 101.22 x 8.37 mm,,,
Black_PMMA,Black_PMMA_Cone_HF25Scalar_230606_R6.csv,FSRI,Black_PMMA_HF25_6,Dow,black PMMA,Horizontal,25,0.009999999776,0.04145395756,-566,102.3700027,0.25,11,11,8,1,3031,104.5,2551,637.75,1,Dimensions: 100.72 x 100.64 x 8.42 mm,,,
Black_PMMA,Black_PMMA_Cone_HF50Scalar_220315_R1.csv,FSRI,BlackPMMA_HF50_1,Dow,Black PMMA,Horizontal,50,0.009999999776,0.03946818784,-566,105.0999985,0.25,11,11,8,1,2033,26.25,1553,388.25,1,Dimensions: 100.97 x 100.99 x 8.60 mm,,,
Black_PMMA,Black_PMMA_Cone_HF50Scalar_220315_R2.csv,FSRI,BlackPMMA_HF50_2,Dow,Black PMMA,Horizontal,50,0.009999999776,0.03946818784,-566,102.5,0.25,11,11,8,1,1979,27.5,1499,374.75,1,Dimensions: 101.01 x 100.90 x 8.36 mm,,,
Black_PMMA,Black_PMMA_Cone_HF50Scalar_220315_R3.csv,FSRI,BlackPMMA_HF50_3,Dow,Black PMMA,Horizontal,50,0.009999999776,0.03900225461,-566,100.6999969,0.25,11,11,8,1,2011,27.25,1531,382.75,1,Dimensions: 100.97 x 101.01 x 8.20 mm,,,
Black_PMMA,Black_PMMA_Cone_HF50Scalar_221129_R4.csv,FSRI,Black_PMMA_HF50_4,Dow,Black PMMA,Horizontal,50,0.009999999776,0.04003300145,-566,102.9899979,0.25,11,11,8,1,1931,23.75,1451,362.75,1,Dimensions: 101.11 x 100.80 x 8.47 mm,,,
Black_PMMA,Black_PMMA_Cone_HF75Scalar_220315_R1.csv,FSRI,BlackPMMA_HF75_1,Dow,Black PMMA,Horizontal,75,0.009999999776,0.03900225461,-566,105.8000031,0.25,11,11,8,1,1605,11.75,1125,281.25,1,Dimensions: 100.90 x 100.06 x 8.72 mm,,,
Black_PMMA,Black_PMMA_Cone_HF75Scalar_220315_R2.csv,FSRI,BlackPMMA_HF75_2,Dow,Black PMMA,Horizontal,75,0.009999999776,0.03900225461,-566,103,0.25,11,11,8,1,1576,12.75,1096,274,1,Dimensions: 100.94 x 100.60 x 8.46 mm,,,
Black_PMMA,Black_PMMA_Cone_HF75Scalar_220315_R3.csv,FSRI,BlackPMMA_HF75_3,Dow,Black PMMA,Horizontal,75,0.009999999776,0.03900225461,-566,100.5999985,0.25,11,11,8,1,1562,12.5,1082,270.5,1,Dimensions: 100.81 x 100.90 x 8.24 mm,,,
Black_PMMA,Black_PMMA_Cone_HF75Scalar_230607_R4.csv,FSRI,Black_PMMA_HF75_4,Marino,black PMMA,Horizontal,75,0.009999999776,0.03976900131,-566,102.1800003,0.25,11,11,8,1,1615,14.75,1135,283.75,1,Dimensions: 101.29 x 101.18 x 8.40 mm,Ignition time was delay by 1 to 2 seconds due to human error.,,
Cellulose_Insulation,Cellulose_Insulation_Cone_HF25Scalar_230613_R1.csv,FSRI,Cellulose_In_HF25_R1,Marino,Cellulose Insulation,Horizontal,25,0.009999999776,0.03982676938,-566,21.67000008,0.25,11,11,8,1,1442,9.75,962,240.5,1,5 cm depth tray filled without compression," Spark igniter reinserted at ~2:41, no re-ignition. Sample charred and smoldered.",,
Cellulose_Insulation,Cellulose_Insulation_Cone_HF25Scalar_230613_R2.csv,FSRI,Cellulose_In_HF25_R2,Marino,Cellulose Insulation,Horizontal,25,0.009999999776,0.03982676938,-566,26.90999985,0.25,11,11,8,1,1089,12,609,152.25,1,5 cm depth tray filled without compression,Sample charred and smoldered.,,
Cellulose_Insulation,Cellulose_Insulation_Cone_HF25Scalar_230613_R3.csv,FSRI,Cellulose_In_HF25_R3,Marino,Cellulose Insulation,Horizontal,25,0.009999999776,0.03982676938,-566,25.04999924,0.25,11,11,8,1,1069,9.25,589,147.25,1,5 cm depth tray filled without compression,Sample charred and smoldered.,,
Cellulose_Insulation,Cellulose_Insulation_Cone_HF50Scalar_230615_R1.csv,FSRI,Cellulose_In_HF50_R1,Marino,Cellulose Insulation,Horizontal,50,0.009999999776,0.04076299444,-566,25.03000069,0.25,11,11,8,1,1895,2.25,1415,353.75,1,5 cm depth tray filled without compression,"Test started manually using ""start test"" button. Ignition occured less than 1 second after the shutter opened. Sample's surface area and height reduced as it was consumed. Sample charred and smoldered.",,
Cellulose_Insulation,Cellulose_Insulation_Cone_HF50Scalar_230615_R2.csv,FSRI,Cellulose_In_HF50_R2,Marino,Cellulose Insulation,Horizontal,50,0.009999999776,0.04076299444,-566,25.64999962,0.25,11,11,8,1,2017,1.25,1537,384.25,1,5 cm depth tray filled without compression,"Test started manually using ""start test"" button. Ignition occured less than 1 second after the shutter opened. Sample's surface area and height reduced as it was consumed. Sample charred and smoldered.",,
Cellulose_Insulation,Cellulose_Insulation_Cone_HF50Scalar_230620_R3.csv,FSRI,Cellulose_In_HF50_R3,Marino,Cellulose Insulation,Horizontal,50,0.009999999776,0.04076299444,-566,26.05999947,0.25,11,11,8,1,2031,1.5,1551,387.75,1,5 cm depth tray filled without compression,"Test started manually using ""start test"" button. Ignition occured less than 1 second after the shutter opened. Sample's surface area and height reduced as it was consumed. Sample charred and smoldered.",,
Cellulose_Insulation,Cellulose_Insulation_Cone_HF75Scalar_230615_R1.csv,FSRI,Cellulose_In_HF75_R1,Marino,Cellulose Insulation,Horizontal,75,0.009999999776,0.04076299444,-566,26.18000031,0.25,11,11,8,1,1601,1.75,1121,280.25,1,5 cm depth tray filled without compression,"Test started manually using ""start test"" button. Ignition occured less than 1 second after the shutter opened. Sample's surface area and height reduced as it was consumed. Sample charred and smoldered.",,
Cellulose_Insulation,Cellulose_Insulation_Cone_HF75Scalar_230615_R2.csv,FSRI,Cellulose_In_HF75_R2,Marino,Cellulose Insulation,Horizontal,75,0.009999999776,0.04076299444,-566,26.79000092,0.25,11,11,8,1,1734,2,1254,313.5,1,5 cm depth tray filled without compression,"Test started manually using ""start test"" button. Ignition occured less than 1 second after the shutter opened. Sample's surface area and height reduced as it was consumed. Sample charred and smoldered.",,
Cellulose_Insulation,Cellulose_Insulation_Cone_HF75Scalar_230615_R3.csv,FSRI,Cellulose_In_HF75_R3,Marino,Cellulose Insulation,Horizontal,75,0.009999999776,0.04076299444,-566,26.81999969,0.25,11,11,8,1,1939,1.5,1459,364.75,1,5 cm depth tray filled without compression,"Test started manually using ""start test"" button. Ignition occured less than 1 second after the shutter opened. Sample's surface area and height reduced as it was consumed. Sample charred and smoldered.",,
Composite_Deck_Board,Composite_Deck_Board_Cone_HF25Scalar_221209_R1.csv,FSRI,TREX_HF25_1,Dow,TREX board,Horizontal,25,0.009999999776,0.03905498981,-566,146.1600037,0.25,11,11,8,1,10153,170,9673,2418.25,1,Dimensions: 101.11 x 101.51 x 13.10 mm,Burning along edges during decay phase.,,
Composite_Deck_Board,Composite_Deck_Board_Cone_HF25Scalar_221209_R2.csv,FSRI,TREX_HF25_2,Dow,TREX board,Horizontal,25,0.009999999776,0.03905498981,-566,141.0500031,0.25,11,11,8,1,9933,154.25,9453,2363.25,1,Dimensions: 101.20 x 101.31 x 12.68 mm,Burning along edges during decay phase.,,
Composite_Deck_Board,Composite_Deck_Board_Cone_HF25Scalar_221209_R3.csv,FSRI,TREX_HF25_3,Dow,TREX board,Horizontal,25,0.009999999776,0.03806118667,-566,146.2200012,0.25,11,11,8,1,10516,171.75,10036,2509,1,Dimensions: 101.08 x 101.70 x 13.02 mm,,,
Composite_Deck_Board,Composite_Deck_Board_Cone_HF50Scalar_221209_R1.csv,FSRI,TREX_HF50_1,Dow,TREX board,Horizontal,50,0.009999999776,0.03806118667,-566,146.25,0.25,11,11,8,1,7175,26.25,6695,1673.75,1,Dimensions: 101.23 x 101.49 x 13.11 mm,,,
Composite_Deck_Board,Composite_Deck_Board_Cone_HF50Scalar_221209_R2.csv,FSRI,TREX_HF50_2,Dow,TREX board,Horizontal,50,0.009999999776,0.03806118667,-566,146.5,0.25,11,11,8,1,6958,25.25,6478,1619.5,1,Dimensions: 101.21 x 101.59 x 13.11 mm,,,
Composite_Deck_Board,Composite_Deck_Board_Cone_HF50Scalar_221209_R3.csv,FSRI,TREX_HF50_3,Dow,TREX board,Horizontal,50,0.009999999776,0.03806118667,-566,146.4799957,0.25,11,11,8,1,7078,26.5,6598,1649.5,1,Dimensions: 101.24 x 101.63 x 13.03 mm,,,
Composite_Deck_Board,Composite_Deck_Board_Cone_HF75Scalar_221209_R1.csv,FSRI,TREX_HF75_1,Dow,TREX board,Horizontal,75,0.009999999776,0.03806118667,-566,145.5,0.25,11,11,8,1,5348,11.75,4868,1217,1,Dimensions: 101.37 x 101.15 x 12.99 mm,,,
Composite_Deck_Board,Composite_Deck_Board_Cone_HF75Scalar_221209_R2.csv,FSRI,TREX_HF75_2,Dow,TREX board,Horizontal,75,0.009999999776,0.03806118667,-566,146.25,0.25,11,11,8,1,5357,12,4877,1219.25,1,Dimensions: 101.20 x 101.35 x 13.16 mm,,,
Composite_Deck_Board,Composite_Deck_Board_Cone_HF75Scalar_221209_R3.csv,FSRI,TREX_HF75_3,Dow,TREX board,Horizontal,75,0.009999999776,0.03806118667,-566,146.2599945,0.25,11,11,8,1,5399,10.75,4919,1229.75,1,Dimensions: 101.39 x 101.22 x 13.15 mm,,,
Corrugated_Cardboard,Corrugated_Cardboard_Cone_HF25Scalar_250211_R1.csv,FSRI,Cardboard_HF25_R1,Marino,Cardboard,Horizontal,25,0.009999999776,0.0403820239,-566,5.929999828,0.25,11,11,8,1,871,30.5,391,97.75,1,Dimensions: 101.75 x 99.57 x 3.85 mm; with calcium silicate substrate; with tie wires;,Sample charred and became ash.,,
Corrugated_Cardboard,Corrugated_Cardboard_Cone_HF25Scalar_250211_R2.csv,FSRI,Cardboard_HF25_R2,Marino,Cardboard,Horizontal,25,0.009999999776,0.0403820239,-566,5.949999809,0.25,11,11,8,1,903,32.5,423,105.75,1,Dimensions: 100.61 x 100.77 x 3.93 mm; with calcium silicate substrate; with tie wires;,Sample charred and became ash. Smoldered after removal.,,
Corrugated_Cardboard,Corrugated_Cardboard_Cone_HF25Scalar_250211_R3.csv,FSRI,Cardboard_HF25_R3,Marino,Cardboard,Horizontal,25,0.009999999776,0.0403820239,-566,5.900000095,0.25,11,11,8,1,861,30,381,95.25,1,Dimensions: 100.13 x 100.66 x 3.71 mm; with calcium silicate substrate; with tie wires;,Sample charred and became ash. Sample smoldered when removed.,,
Corrugated_Cardboard,Corrugated_Cardboard_Cone_HF50Scalar_250211_R1.csv,FSRI,Cardboard_HF50_R1,Marino,Cardboard,Horizontal,50,0.009999999776,0.0403820239,-566,5.920000076,0.25,11,11,8,1,718,7.25,238,59.5,1,Dimensions: 100.72 x 99.84 x 3.88 mm; with calcium silicate substrate; with tie wires;,Sample charred and became ash. Sample smoldered when removed.,,
Corrugated_Cardboard,Corrugated_Cardboard_Cone_HF50Scalar_250211_R2.csv,FSRI,Cardboard_HF50_R2,Marino,Cardboard,Horizontal,50,0.009999999776,0.0403820239,-566,5.960000038,0.25,11,11,8,1,712,8,232,58,1,Dimensions: 100.47 x 100.88 x 3.64 mm; with calcium silicate substrate; with tie wires;,Sample charred and became ash. Sample smoldered when removed.,,
Corrugated_Cardboard,Corrugated_Cardboard_Cone_HF50Scalar_250211_R3.csv,FSRI,Cardboard_HF50_R3,Marino,Cardboard,Horizontal,50,0.009999999776,0.0403820239,-566,6.010000229,0.25,11,11,8,1,710,6.75,230,57.5,1,Dimensions: 102.63 x 100.48 x 3.92 mm; with calcium silicate substrate; with tie wires;,Sample charred and became ash. Sample smoldered when removed.,,
Corrugated_Cardboard,Corrugated_Cardboard_Cone_HF75Scalar_250211_R1.csv,FSRI,Cardboard_HF75_R1,Marino,Cardboard,Horizontal,75,0.009999999776,0.0403820239,-566,6.010000229,0.25,11,11,8,1,662,3.75,182,45.5,1,Dimensions: 100.66 x 101.23 x 3.49 mm; with calcium silicate substrate; with tie wires;,Sample charred and became ash. Sample smoldered when removed.,,
Corrugated_Cardboard,Corrugated_Cardboard_Cone_HF75Scalar_250211_R2.csv,FSRI,Cardboard_HF75_R2,Marino,Cardboard,Horizontal,75,0.009999999776,0.0403820239,-566,6,0.25,11,11,8,1,650,3,170,42.5,1,Dimensions: 100.63 x 100.89 x 3.30 mm; with calcium silicate substrate; with tie wires;,Sample charred and became ash. Sample smoldered when removed.,,
Corrugated_Cardboard,Corrugated_Cardboard_Cone_HF75Scalar_250211_R3.csv,FSRI,Cardboard_HF75_R3,Marino,Cardboard,Horizontal,75,0.009999999776,0.0403820239,-566,5.960000038,0.25,11,11,8,1,629,4.25,149,37.25,1,Dimensions: 100.97 x 100.30 x 3.74 mm;  with calcium silicate substrate; with tie wires;,Sample charred and became ash. Sample smoldered when removed.,,
Cotton_Raw,Cotton_Raw_Cone_HF25-Frame+GridScalar_200908_R1.csv,FSRI,Raw_cotton_25_1,Dow,Raw cotton,Horizontal,25,0.009999999776,0.03875309601,341.2000122,6.900000095,0.25,11,11,8,1,984,20,504,126,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF25-Frame+GridScalar_200908_R2.csv,FSRI,Raw_cotton_25_2,Dow,Raw cotton,Horizontal,25,0.009999999776,0.03875309601,341.7000122,7.099999905,0.25,11,11,8,1,1055,40.25,575,143.75,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF25-Frame+GridScalar_200908_R3.csv,FSRI,Raw_cotton_25_3,Dow,Raw cotton,Horizontal,25,0.009999999776,0.03875309601,345.2999878,6.5,0.25,11,11,8,1,1017,33.25,537,134.25,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF35-Frame+GridScalar_200909_R1.csv,FSRI,RawCotton_35_1,Dow,Raw cotton,Horizontal,35,0.009999999776,0.03760493547,345.4000244,6.800000191,0.25,11,11,8,1,1095,9,615,153.75,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF35-Frame+GridScalar_200909_R2.csv,FSRI,RawCotton_35_2,Dow,Raw cotton,Horizontal,35,0.009999999776,0.03760493547,340.4000244,5.699999809,0.25,11,11,8,1,951,19,471,117.75,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF35-Frame+GridScalar_200909_R3.csv,FSRI,RawCotton_35_3,Dow,Raw cotton,Horizontal,35,0.009999999776,0.03760493547,348.5,7.199999809,0.25,11,11,8,1,1066,6.75,586,146.5,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF50-Frame+GridScalar_200909_R1.csv,FSRI,RawCotton_50_1,Dow,Raw cotton,Horizontal,35,0.009999999776,0.03760493547,345.5,5.900000095,0.25,11,11,8,1,882,3,402,100.5,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF50-Frame+GridScalar_200909_R2.csv,FSRI,RawCotton_50_2,Dow,Raw cotton,Horizontal,35,0.009999999776,0.03760493547,341.0999756,6.210000038,0.25,11,11,8,1,939,2.75,459,114.75,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF50-Frame+GridScalar_200909_R3.csv,FSRI,RawCotton_50_3,Dow,Raw cotton,Horizontal,35,0.009999999776,0.03760493547,341.4000244,5.199999809,0.25,11,11,8,1,847,3.5,367,91.75,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF75-Frame+GridScalar_200910_R1.csv,FSRI,RawCotton_75_1,Dow,Raw cotton,Horizontal,75,0.009999999776,0.03677582741,340.539978,7.360000134,0.25,11,11,8,1,933,1.25,453,113.25,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF75-Frame+GridScalar_200910_R2.csv,FSRI,RawCotton_75_2,Dow,Raw cotton,Horizontal,75,0.009999999776,0.03677582741,341.4299927,6.46999979,0.25,11,11,8,1,876,1,396,99,1,,,,
Cotton_Raw,Cotton_Raw_Cone_HF75-Frame+GridScalar_200910_R3.csv,FSRI,RawCotton_75_3,Dow,Raw cotton,Horizontal,75,0.009999999776,0.03677582741,345.5,4.400000095,0.25,11,11,8,1,718,1,238,59.5,1,,,,
Cotton_Rug,Cotton_Rug_Cone_HF25Scalar_220318_R1.csv,FSRI,CottonRug_HF25_1,Dow,Cotton Rug,Horizontal,25,0.00884,0.0398507826,-566,14.56999969,0.25,11,11,8,1,1407,70.5,927,231.75,1,Dimensions: 101.0 x 103.0 x 5.35 mm; with frame; with calcium silicate substrate,Prior to ignition a sample edge lifted and impacted the spark ignitor and caused spikes in the mass data.,,
