Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index,descriptor_count_used,Base_Resistance_Target
Alumina (96%),3.72,2000.0,0.8400000000000001,24.5,8.2,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0,7,0.6122167937170182
Alumina (99.5%),3.895,2050.0,0.8400000000000001,30.0,8.0,,,Non,0.0,0.0,0.0,2050.0,0.0,0.0,7,0.615573401185017
Alumina Fiber (Saffil),3.3,2000.0,0.825,0.1,8.0,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0,7,0.6122167937170182
Alumina Foam,0.6,2050.0,0.8,2.5,8.0,,,Non,0.0,0.0,0.0,2050.0,0.0,0.0,7,0.615573401185017
Aluminum (1100),2.71,660.0,0.9,220.0,23.6,,,Non,0.0,0.0,0.0,660.0,0.0,0.0,7,0.5222597135746472
Aluminum (2024-T3),2.78,638.0,0.88,121.0,22.9,,,Non,0.0,0.0,0.0,638.0,0.0,0.0,7,0.5207828062887276
Aluminum (5052-H32),2.68,649.0,0.88,138.0,23.8,,,Non,0.0,0.0,0.0,649.0,0.0,0.0,7,0.5215212599316874
Aluminum (6061-T6),2.7,650.0,0.9,167.0,23.6,,,Non,0.0,0.0,0.0,650.0,0.0,0.0,7,0.5215883920810473
Aluminum (7075-T6),2.81,635.0,0.96,130.0,23.4,,,Non,0.0,0.0,0.0,635.0,0.0,0.0,7,0.5205814098406477
Aluminum 2024-T3,2.78,502.0,0.88,121.0,23.2,,,Non,0.0,0.0,0.0,502.0,0.0,0.0,7,0.5116528339757707
Aluminum 356 (Cast),2.67,557.0,0.96,151.0,21.4,,,Non,0.0,0.0,0.0,557.0,0.0,0.0,7,0.5153451021905694
Aluminum 380 (Die Cast),2.71,538.0,0.96,96.0,21.0,,,Non,0.0,0.0,0.0,538.0,0.0,0.0,7,0.5140695913527298
Aluminum 5052-H32,2.68,607.0,0.88,138.0,23.8,,,Non,0.0,0.0,0.0,607.0,0.0,0.0,7,0.5187017096585683
Aluminum 6061-T6,2.7,582.0,0.89,167.0,23.6,,,Non,0.0,0.0,0.0,582.0,0.0,0.0,7,0.5170234059245689
Aluminum 7075-T6,2.81,477.0,0.96,130.0,23.6,,,Non,0.0,0.0,0.0,477.0,0.0,0.0,7,0.5099745302417712
Aluminum Boride (AlB12),2.55,2150.0,1.25,25.0,5.0,,,Non,0.0,0.0,0.0,2150.0,0.0,0.0,7,0.6222866161210149
Aluminum Boride (AlB2),3.19,,0.95,30.0,8.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,6,0.6121360844478868
Aluminum Bromide,3.2,97.5,0.55,0.4,75.0,,,Non,0.0,0.0,0.0,97.5,0.0,0.0,7,0.4844978795596594
Aluminum Bronze,7.6,1035.0,0.42,58.0,16.2,,,Non,0.0,0.0,0.0,1035.0,0.0,0.0,7,0.547434269584639
Aluminum Bronze (C95400),7.45,1025.0,0.42,59.0,16.2,,,Non,0.0,0.0,0.0,1025.0,0.0,0.0,7,0.5467629480910393
Aluminum Chloride,2.44,192.0,0.75,0.5,60.0,,,Non,0.0,0.0,0.0,192.0,0.0,0.0,7,0.4908418676741773
Aluminum Composite Panel (ACP),1.5,,1.25,0.35,25.0,,400.0,V-0,28.0,150.0,15.0,300.0,30.0,20.0,7,0.5660254488291622
Aluminum Diboride (AlB2),3.19,1655.0,1.2,55.0,7.0,,,Non,0.0,0.0,0.0,1655.0,0.0,0.0,7,0.5890562021878256
Aluminum Foam,0.5,660.0,0.9,10.0,23.0,,,Non,0.0,0.0,0.0,660.0,0.0,0.0,7,0.5222597135746472
Aluminum Hydride,1.48,150.0,1.55,1.5,45.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0,7,0.4880223174010582
Aluminum Iodide,3.98,191.0,0.45,0.3,85.0,,,Non,0.0,0.0,0.0,191.0,0.0,0.0,7,0.4907747355248174
Aluminum Nitride,3.26,2200.0,0.78,180.0,4.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0,7,0.6256432235890138
Aluminum Nitride (AlN),3.26,2200.0,0.78,180.0,4.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0,7,0.6256432235890138
Aluminum Nitride (Pressureless),3.26,2200.0,0.78,180.0,4.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0,7,0.6256432235890138
Aluminum Nitride Crystal,3.26,,0.73,285.0,4.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0,6,0.6336894977247894
Aluminum Oxide (Single Crystal),3.98,2040.0,0.75,35.0,8.1,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0,7,0.6149020796914172
Aluminum Oxynitride (ALON),3.69,2150.0,0.75,12.0,7.4,,,Non,0.0,0.0,0.0,2150.0,0.0,0.0,7,0.6222866161210149
Aluminum Phosphide,2.85,,0.75,0.6,,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,6,0.5866638687570019
Aluminum Powder (Atomized),2.7,660.0,0.9,200.0,23.5,,590.0,Non,0.0,0.0,0.0,660.0,31.0,0.0,8,0.5483008248317925
Aluminum Siding,2.7,660.0,0.9,200.0,23.0,,,Non,0.0,0.0,0.0,660.0,0.0,0.0,7,0.5222597135746472
Aluminum Silicate (Andalusite),3.15,1850.0,0.8,2.1,5.2,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0,7,0.6021469713130214
Aluminum Silicate (Kyanite),3.6,1850.0,0.8,1.8,5.5,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0,7,0.6021469713130214
Aluminum Silicate (Sillimanite),3.24,1850.0,0.8,2.0,5.0,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0,7,0.6021469713130214
Aluminum Silicide,2.65,577.0,0.96,160.0,20.0,,,Non,0.0,0.0,0.0,577.0,0.0,0.0,7,0.5166877451777689
Aluminum Silicide (Al-12Si),2.65,577.0,0.96,160.0,20.0,,,Non,0.0,0.0,0.0,577.0,0.0,0.0,7,0.5166877451777689
Aluminum Titanate,3.55,1860.0,0.8,1.5,1.0,,,Non,0.0,0.0,0.0,1860.0,0.0,0.0,7,0.6028182928066211
Amber,1.07,300.0,1.25,0.18,50.0,,,HB,18.0,500.0,10.0,350.0,38.0,250.0,7,0.3872389924921396
Americium Boride (AmB4),9.15,2300.0,0.2,15.0,11.5,,,Non,0.0,0.0,0.0,2300.0,0.0,0.0,7,0.6323564385250117
Americium Metal,13.6,1176.0,0.11,10.0,11.0,,,Non,0.0,0.0,0.0,1176.0,0.0,0.0,7,0.556899902644396
Ammonia (Anhydrous),0.68,-77.0,4.7,0.5,,651.0,,,,0.0,,18.6,,,4,0.4898989461604165
Ammonia (Liquid),0.68,-78.0,4.7,0.5,,,651.0,,15.0,,0.0,-33.0,18.6,,6,0.39484879182693894
Ammonium Nitrate,1.72,169.0,1.75,0.5,,,,,,0.0,210.0,0.0,,,4,0.42836828529862614
Ammonium Perchlorate,1.95,,1.25,0.45,,,,,,1000.0,0.0,240.0,0.0,,4,0.355542043851399
Andesite,2.6,1200.0,0.82,2.2,7.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Aniline,1.02,-6.0,2.1,0.18,70.0,615.0,,,,15.0,,31.5,,,4,0.4820806675769806
Anthracene,1.25,218.0,1.35,0.13,121.0,540.0,,,,35.0,,40.0,,,4,0.47176351837685643
Anthracite Coal,1.45,,1.25,0.25,,,450.0,HB,25.0,200.0,80.0,500.0,34.0,150.0,7,0.5482993093996599
Antimony,6.68,630.0,0.21,18.5,11.0,,,Non,0.0,0.0,0.0,630.0,0.0,0.0,7,0.5202457490938478
Antimony (Metal),6.68,631.0,0.21,18.0,11.0,,,Non,0.0,0.0,0.0,631.0,0.0,0.0,7,0.5203128812432077
Antimony (Pure),6.68,630.0,0.21,18.0,11.0,,,Non,0.0,0.0,0.0,630.0,0.0,0.0,7,0.5202457490938478
Antimony Hydride (Stibine),0.005,-88.0,0.35,,,,,,0.0,-17.0,28.5,,,,4,0.3314185417688148
Antimony Oxychloride,5.18,,0.35,1.2,18.0,,,Non,0.0,0.0,0.0,170.0,0.0,0.0,6,0.554137808720949
Antimony Silicide,5.85,,0.25,10.0,12.5,,,Non,0.0,0.0,0.0,500.0,0.0,0.0,6,0.5670698566870905
Antimony Trisulfide,4.64,550.0,0.45,1.5,20.0,,,Non,0.0,0.0,0.0,550.0,0.0,0.0,7,0.5148751771450496
Apatite (Ceramic),3.2,1670.0,0.85,1.5,12.0,,,Non,0.0,0.0,0.0,1670.0,0.0,0.0,7,0.5900631844282253
Aramid Fiber (Kevlar 29),1.44,,1.42,0.04,-4.0,,,V-0,29.0,150.0,45.0,500.0,30.0,15.0,6,0.5960131284619871
Aramid Fiber (Kevlar 49),1.45,,1.4,0.04,-4.9,,,V-0,30.0,140.0,50.0,520.0,28.0,12.0,6,0.6025062263820127
Aramid Fiber (Nomex),1.38,,1.2,0.13,20.0,,,V-0,30.0,80.0,45.0,400.0,25.0,20.0,6,0.6033391769940187
Aramid Fiber (Technora),1.39,,1.35,0.06,-3.0,,500.0,V-0,30.0,15.0,42.0,480.0,28.0,10.0,7,0.620514412249899
Arsenic (Grey),5.73,817.0,0.33,50.0,4.7,,,Non,0.0,0.0,0.0,614.0,0.0,0.0,7,0.5259807448238346
Arsenic Hydride (Arsine),0.003,-117.0,0.55,,,,,,0.0,-62.0,24.5,,,,4,0.33849383776829
Arsenic Silicide,4.85,,0.45,8.0,12.5,,,Non,0.0,0.0,0.0,700.0,0.0,0.0,6,0.574907461515055
Ashlar Masonry,2.5,,0.85,1.8,8.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Asphalt (Roofing),1.1,,1.7,0.17,200.0,230.0,480.0,HB,17.0,600.0,15.0,350.0,40.0,250.0,8,0.44853749589364705
Asphalt Binder (PG 64-22),1.03,,1.8,0.17,200.0,230.0,485.0,HB,16.0,650.0,15.0,380.0,40.0,350.0,8,0.41824710956372807
Astroloy,7.95,1315.0,0.45,10.0,13.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0,7,0.566231271405433
Autoclaved Aerated Concrete,0.65,,1.05,0.14,8.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Azodicarbonamide,1.65,225.0,1.25,0.18,,,,,,200.0,30.0,225.0,15.0,,5,0.46101189193274666
Babbitt Metal (Lead-based),10.0,245.0,0.15,24.0,24.0,,,Non,0.0,0.0,0.0,245.0,0.0,0.0,7,0.49439987159025617
Babbitt Metal (Tin-based),7.39,240.0,0.22,35.0,23.0,,,Non,0.0,0.0,0.0,240.0,0.0,0.0,7,0.4940642108434563
Bamboo (Moso),0.75,,1.6,0.18,4.5,260.0,370.0,HB,25.0,80.0,26.0,300.0,19.0,90.0,8,0.5463845981767503
Bamboo Flooring,0.75,,1.6,0.16,5.0,260.0,370.0,HB,24.0,80.0,26.0,290.0,19.0,90.0,8,0.5448406879957016
Barium (Metal),3.62,727.0,0.2,18.0,18.0,,,Non,0.0,0.0,0.0,1897.0,0.0,0.0,7,0.5660575575048452
Barium Aluminate (BaAl2O4),4.0,1815.0,0.35,2.0,10.0,,,Non,0.0,0.0,0.0,1815.0,0.0,0.0,7,0.5997973460854221
Barium Bromide,4.78,857.0,0.3,1.0,25.0,,,Non,0.0,0.0,0.0,857.0,0.0,0.0,7,0.5354847469985629
Barium Carbonate,4.29,,0.45,1.5,18.0,,,Non,0.0,0.0,0.0,811.0,0.0,0.0,6,0.5792573321945754
Barium Chloride,3.86,962.0,0.35,1.2,28.0,,,Non,0.0,0.0,0.0,962.0,0.0,0.0,7,0.5425336226813606
Barium Chromite (BaCrO4),4.5,1400.0,0.35,2.0,13.5,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Barium Fluoride Crystal,4.89,1355.0,0.41,11.7,18.4,,,Non,0.0,0.0,0.0,1355.0,0.0,0.0,7,0.568916557379832
Barium Fluoride Crystal (Pure),4.89,1355.0,0.41,11.7,18.4,,,Non,0.0,0.0,0.0,1355.0,0.0,0.0,7,0.568916557379832
Barium Hafnate (BaHfO3),7.65,2800.0,0.25,2.0,7.0,,,Non,0.0,0.0,0.0,2800.0,0.0,0.0,7,0.6659225132050007
Barium Hexaboride (BaB6),4.35,2260.0,0.45,20.0,8.5,,,Non,0.0,0.0,0.0,2260.0,0.0,0.0,7,0.6296711525506125
Barium Hydride,4.21,1200.0,0.35,1.5,18.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Barium Iodide,5.15,711.0,0.25,0.9,32.0,,,Non,0.0,0.0,0.0,711.0,0.0,0.0,7,0.525683453192006
Barium Nitrate,3.24,592.0,0.4649999999999999,0.55,18.0,,,Non,0.0,500.0,0.0,592.0,0.0,0.0,7,0.45204346691396696
Barium Oxide (BaO),5.72,1920.0,0.35,12.0,14.0,,,Non,0.0,0.0,0.0,1920.0,0.0,0.0,7,0.6068462217682199
Barium Silicate (BaSiO3),4.4,1604.0,0.35,1.5,13.0,,,Non,0.0,0.0,0.0,1604.0,0.0,0.0,7,0.5856324625704667
Barium Stannate (BaSnO3),7.25,2000.0,0.25,2.5,8.0,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0,7,0.6122167937170182
Barium Titanate,6.02,1625.0,0.44,2.75,11.0,,,Non,0.0,0.0,0.0,1625.0,0.0,0.0,7,0.5870422377070262
Barium Titanate (BaTiO3),6.02,1625.0,0.45,3.0,11.0,,,Non,0.0,0.0,0.0,1625.0,0.0,0.0,7,0.5870422377070262
Barium Titanate (Ceramic),6.02,1625.0,0.44,2.5,11.0,,,Non,0.0,0.0,0.0,1625.0,0.0,0.0,7,0.5870422377070262
Barium Zirconate (BaZrO3),6.21,2620.0,0.35,2.2,7.5,,,Non,0.0,0.0,0.0,2620.0,0.0,0.0,7,0.6538387263202047
Basalt (Cast),2.95,1180.0,0.84,1.9,6.0,,,Non,0.0,0.0,0.0,1180.0,0.0,0.0,7,0.5571684312418359
Basalt Fiber,2.65,1450.0,0.85,0.515,8.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Basalt Fiber (Continuous),2.67,1450.0,0.85,0.03,8.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Beeswax,0.96,63.0,2.5,0.2,,200.0,,HB,15.0,600.0,2.0,250.0,42.0,400.0,8,0.3328215016374778
Benzene,0.88,5.5,1.75,0.14,-11.0,498.0,,,,0.0,,40.1,,,4,0.45649098320555215
Benzoic Acid,1.27,122.0,1.25,0.15,121.0,570.0,,,,10.0,249.0,24.5,,,5,0.5220302523021431
Benzoyl Peroxide,1.33,103.0,1.4,0.15,,,80.0,,,100.0,10.0,103.0,22.0,,6,0.3971590864504157
Benzyl Alcohol,1.04,-15.0,2.15,0.16,93.0,436.0,,,,5.0,,33.5,,,4,0.4377383938975399
Berkelium Boride (BkB4),8.95,2100.0,0.2,10.0,13.5,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0,7,0.618930008653016
Beryllia (High Purity),2.85,2575.0,1.05,260.0,8.0,,,Non,0.0,0.0,0.0,2575.0,0.0,0.0,7,0.6508177795990057
Beryllium,1.85,1287.0,1.82,190.0,11.3,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0,7,0.5643515712233536
Beryllium (I-70A),1.85,1287.0,1.92,216.0,11.3,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0,7,0.5643515712233536
Beryllium (Metal),1.85,1287.0,1.82,200.0,11.3,,,Non,0.0,0.0,0.0,2471.0,0.0,0.0,7,0.6041218174361109
Beryllium (S-200F),1.85,1287.0,1.82,210.0,11.3,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0,7,0.5643515712233536
Beryllium Aluminum (AlBeMet),2.1,645.0,1.5,210.0,13.9,,,Non,0.0,0.0,0.0,645.0,0.0,0.0,7,0.5212527313342475
Beryllium Carbide,1.9,2100.0,2.1,25.0,6.5,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0,7,0.618930008653016
Beryllium Copper,8.25,865.0,0.42,105.0,17.0,,,Non,0.0,0.0,0.0,865.0,0.0,0.0,7,0.5360218041934427
Beryllium Metal,1.85,1287.0,1.82,190.0,11.5,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0,7,0.5643515712233536
Beryllium Nickel (Alloy 440),8.41,1320.0,0.44,48.0,14.0,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0,7,0.5665669321522329
Beryllium Oxide,2.85,2575.0,1.05,250.0,8.0,,,Non,0.0,0.0,0.0,2575.0,0.0,0.0,7,0.6508177795990057
Beryllium Oxide (BeO),3.01,2575.0,1.02,250.0,8.0,,,Non,0.0,0.0,0.0,2575.0,0.0,0.0,7,0.6508177795990057
Beryllium-Copper (C17200),8.25,865.0,0.42,105.0,17.0,,,Non,0.0,0.0,0.0,865.0,0.0,0.0,7,0.5360218041934427
Bio-Glass,2.7,,0.85,1.0,15.0,,,Non,0.0,0.0,0.0,800.0,0.0,0.0,6,0.5788262639290374
Biodiesel (B100),0.88,,2.0,0.15,,130.0,202.0,HB,16.0,600.0,5.0,320.0,38.0,350.0,8,0.36097227651857716
Biphenyl,0.99,69.0,1.65,0.14,113.0,540.0,,,,10.0,,39.5,,,4,0.46873242810250526
Bismaleimide (BMI),1.35,,1.125,0.22,40.0,580.0,550.0,V-0,36.0,26.0,50.0,500.0,26.0,7.5,8,0.6679090208060082
Bismuth,9.78,271.0,0.12,7.9,13.4,,,Non,0.0,0.0,0.0,271.0,0.0,0.0,7,0.4961453074736156
Bismuth (Metal),9.78,271.0,0.12,8.0,13.4,,,Non,0.0,0.0,0.0,271.0,0.0,0.0,7,0.4961453074736156
Bismuth Germanate (BGO),7.13,1050.0,0.3,1.2,7.0,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0,7,0.5484412518250387
Bismuth Germanate (BGO) Crystal,7.13,1050.0,0.3,1.2,7.0,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0,7,0.5484412518250387
Bismuth Hydride (Bismuthine),0.009,-67.0,0.25,,,,,,0.0,22.0,35.5,,,,4,0.3264242034385661
Bismuth Oxychloride,7.72,,0.15,1.5,15.0,,,Non,0.0,0.0,0.0,700.0,0.0,0.0,6,0.574907461515055
Bismuth Silicide,8.55,,0.15,8.0,14.5,,,Non,0.0,0.0,0.0,550.0,0.0,0.0,6,0.5690292578940817
Bismuth-Lead (Eutectic),10.5,124.0,0.14,12.0,18.0,,,Non,0.0,0.0,0.0,124.0,0.0,0.0,7,0.4862768815176988
Bismuth-Tin Solder,8.56,138.0,0.18,19.0,15.0,,,Non,0.0,0.0,0.0,138.0,0.0,0.0,7,0.4872167316087385
Bitumen (Natural),1.1,,1.75,0.16,190.0,210.0,480.0,HB,17.0,600.0,20.0,350.0,38.0,300.0,8,0.4345879572846462
Bituminous Coal,1.3,,1.35,0.22,,,400.0,HB,22.0,400.0,60.0,450.0,30.0,200.0,7,0.4882829216807528
Bituminous Felt,1.2,,1.6,0.19,180.0,210.0,450.0,HB,17.0,700.0,20.0,320.0,38.0,300.0,8,0.4172830456269491
Black Powder,1.7,,0.85,0.15,,,427.0,,,100.0,10.0,300.0,3.0,,5,0.5625509080018335
Boron Carbide,2.52,2450.0,0.95,35.0,4.75,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0,7,0.6424262609290085
Boron Carbide (B4C),2.52,2450.0,0.95,35.0,5.0,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0,7,0.6424262609290085
Boron Carbide (Hot Pressed),2.52,2450.0,0.95,35.0,5.0,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0,7,0.6424262609290085
Boron Fiber,2.5,2040.0,1.2,25.0,4.5,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0,7,0.6149020796914172
Boron Hydride (Diborane),0.001,-165.0,2.15,,-90.0,38.0,,,,0.0,-92.0,35.2,,,5,0.29441446435523094
Boron Monel,8.3,1250.0,0.4,25.0,13.5,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0,7,0.5618676816970344
