Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index
Aluminum Boride (AlB12),2.55,2150.0,1.25,25.0,5.0,,,Non,0.0,0.0,0.0,2150.0,0.0,0.0
Aluminum Boride (AlB2),3.19,,0.95,30.0,8.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Aluminum Bromide,3.2,97.5,0.55,0.4,75.0,,,Non,0.0,0.0,0.0,97.5,0.0,0.0
Aluminum Bronze,7.6,1035.0,0.42,58.0,16.2,,,Non,0.0,0.0,0.0,1035.0,0.0,0.0
Aluminum Bronze (C95400),7.45,1025.0,0.42,59.0,16.2,,,Non,0.0,0.0,0.0,1025.0,0.0,0.0
Aluminum Chloride,2.44,192.0,0.75,0.5,60.0,,,Non,0.0,0.0,0.0,192.0,0.0,0.0
Aluminum Composite Panel (ACP),1.5,,1.25,0.35,25.0,,400.0,V-0,28.0,150.0,15.0,300.0,30.0,20.0
Aluminum Diboride (AlB2),3.19,1655.0,1.2,55.0,7.0,,,Non,0.0,0.0,0.0,1655.0,0.0,0.0
Aluminum Foam,0.5,660.0,0.9,10.0,23.0,,,Non,0.0,0.0,0.0,660.0,0.0,0.0
Aluminum Hydride,1.48,150.0,1.55,1.5,45.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0
Aluminum Iodide,3.98,191.0,0.45,0.3,85.0,,,Non,0.0,0.0,0.0,191.0,0.0,0.0
Aluminum Nitride,3.26,2200.0,0.78,180.0,4.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0
Aluminum Nitride (AlN),3.26,2200.0,0.78,180.0,4.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0
Aluminum Nitride (Pressureless),3.26,2200.0,0.78,180.0,4.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0
Aluminum Nitride Crystal,3.26,,0.73,285.0,4.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0
Aluminum Oxide (Single Crystal),3.98,2040.0,0.75,35.0,8.1,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0
Aluminum Oxynitride (ALON),3.69,2150.0,0.75,12.0,7.4,,,Non,0.0,0.0,0.0,2150.0,0.0,0.0
Aluminum Phosphide,2.85,,0.75,0.6,,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Aluminum Powder (Atomized),2.7,660.0,0.9,200.0,23.5,,590.0,Non,0.0,0.0,0.0,660.0,31.0,0.0
Aluminum Siding,2.7,660.0,0.9,200.0,23.0,,,Non,0.0,0.0,0.0,660.0,0.0,0.0
Aluminum Silicate (Andalusite),3.15,1850.0,0.8,2.1,5.2,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Aluminum Silicate (Kyanite),3.6,1850.0,0.8,1.8,5.5,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Aluminum Silicate (Sillimanite),3.24,1850.0,0.8,2.0,5.0,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Aluminum Silicide,2.65,577.0,0.96,160.0,20.0,,,Non,0.0,0.0,0.0,577.0,0.0,0.0
Aluminum Silicide (Al-12Si),2.65,577.0,0.96,160.0,20.0,,,Non,0.0,0.0,0.0,577.0,0.0,0.0
Aluminum Titanate,3.55,1860.0,0.8,1.5,1.0,,,Non,0.0,0.0,0.0,1860.0,0.0,0.0
Amber,1.07,300.0,1.25,0.18,50.0,,,HB,18.0,500.0,10.0,350.0,38.0,250.0
Americium Boride (AmB4),9.15,2300.0,0.2,15.0,11.5,,,Non,0.0,0.0,0.0,2300.0,0.0,0.0
Americium Metal,13.6,1176.0,0.11,10.0,11.0,,,Non,0.0,0.0,0.0,1176.0,0.0,0.0
Ammonia (Anhydrous),0.68,-77.0,4.7,0.5,,651.0,,,,0.0,,18.6,,
Ammonia (Liquid),0.68,-78.0,4.7,0.5,,,651.0,,15.0,,0.0,-33.0,18.6,
Ammonium Nitrate,1.72,169.0,1.75,0.5,,,,,,0.0,210.0,0.0,,
Ammonium Perchlorate,1.95,,1.25,0.45,,,,,,1000.0,0.0,240.0,0.0,
Andesite,2.6,1200.0,0.82,2.2,7.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Aniline,1.02,-6.0,2.1,0.18,70.0,615.0,,,,15.0,,31.5,,
Anthracene,1.25,218.0,1.35,0.13,121.0,540.0,,,,35.0,,40.0,,
Anthracite Coal,1.45,,1.25,0.25,,,450.0,HB,25.0,200.0,80.0,500.0,34.0,150.0
Antimony,6.68,630.0,0.21,18.5,11.0,,,Non,0.0,0.0,0.0,630.0,0.0,0.0
Antimony (Metal),6.68,631.0,0.21,18.0,11.0,,,Non,0.0,0.0,0.0,631.0,0.0,0.0
Antimony (Pure),6.68,630.0,0.21,18.0,11.0,,,Non,0.0,0.0,0.0,630.0,0.0,0.0
Antimony Hydride (Stibine),0.005,-88.0,0.35,,,,,,0.0,-17.0,28.5,,,
Antimony Oxychloride,5.18,,0.35,1.2,18.0,,,Non,0.0,0.0,0.0,170.0,0.0,0.0
Antimony Silicide,5.85,,0.25,10.0,12.5,,,Non,0.0,0.0,0.0,500.0,0.0,0.0
Antimony Trisulfide,4.64,550.0,0.45,1.5,20.0,,,Non,0.0,0.0,0.0,550.0,0.0,0.0
Apatite (Ceramic),3.2,1670.0,0.85,1.5,12.0,,,Non,0.0,0.0,0.0,1670.0,0.0,0.0
Aramid Fiber (Kevlar 29),1.44,,1.42,0.04,-4.0,,,V-0,29.0,150.0,45.0,500.0,30.0,15.0
Aramid Fiber (Kevlar 49),1.45,,1.4,0.04,-4.9,,,V-0,30.0,140.0,50.0,520.0,28.0,12.0
Aramid Fiber (Nomex),1.38,,1.2,0.13,20.0,,,V-0,30.0,80.0,45.0,400.0,25.0,20.0
Aramid Fiber (Technora),1.39,,1.35,0.06,-3.0,,500.0,V-0,30.0,15.0,42.0,480.0,28.0,10.0
Argon (Liquid),1.39,-189.0,0.52,0.12,,,,,,0.0,,0.0,,
Arsenic (Grey),5.73,817.0,0.33,50.0,4.7,,,Non,0.0,0.0,0.0,614.0,0.0,0.0
Arsenic Hydride (Arsine),0.003,-117.0,0.55,,,,,,0.0,-62.0,24.5,,,
Arsenic Silicide,4.85,,0.45,8.0,12.5,,,Non,0.0,0.0,0.0,700.0,0.0,0.0
Ashlar Masonry,2.5,,0.85,1.8,8.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Asphalt (Roofing),1.1,,1.7,0.17,200.0,230.0,480.0,HB,17.0,600.0,15.0,350.0,40.0,250.0
Asphalt Binder (PG 64-22),1.03,,1.8,0.17,200.0,230.0,485.0,HB,16.0,650.0,15.0,380.0,40.0,350.0
Astroloy,7.95,1315.0,0.45,10.0,13.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0
Autoclaved Aerated Concrete,0.65,,1.05,0.14,8.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Azodicarbonamide,1.65,225.0,1.25,0.18,,,,,,200.0,30.0,225.0,15.0,
Babbitt Metal (Lead-based),10.0,245.0,0.15,24.0,24.0,,,Non,0.0,0.0,0.0,245.0,0.0,0.0
Babbitt Metal (Tin-based),7.39,240.0,0.22,35.0,23.0,,,Non,0.0,0.0,0.0,240.0,0.0,0.0
Bamboo (Moso),0.75,,1.6,0.18,4.5,260.0,370.0,HB,25.0,80.0,26.0,300.0,19.0,90.0
Bamboo Flooring,0.75,,1.6,0.16,5.0,260.0,370.0,HB,24.0,80.0,26.0,290.0,19.0,90.0
Barium (Metal),3.62,727.0,0.2,18.0,18.0,,,Non,0.0,0.0,0.0,1897.0,0.0,0.0
Barium Aluminate (BaAl2O4),4.0,1815.0,0.35,2.0,10.0,,,Non,0.0,0.0,0.0,1815.0,0.0,0.0
Barium Bromide,4.78,857.0,0.3,1.0,25.0,,,Non,0.0,0.0,0.0,857.0,0.0,0.0
Barium Carbonate,4.29,,0.45,1.5,18.0,,,Non,0.0,0.0,0.0,811.0,0.0,0.0
Barium Chloride,3.86,962.0,0.35,1.2,28.0,,,Non,0.0,0.0,0.0,962.0,0.0,0.0
Barium Chromite (BaCrO4),4.5,1400.0,0.35,2.0,13.5,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Barium Fluoride Crystal,4.89,1355.0,0.41,11.7,18.4,,,Non,0.0,0.0,0.0,1355.0,0.0,0.0
Barium Fluoride Crystal (Pure),4.89,1355.0,0.41,11.7,18.4,,,Non,0.0,0.0,0.0,1355.0,0.0,0.0
Barium Hafnate (BaHfO3),7.65,2800.0,0.25,2.0,7.0,,,Non,0.0,0.0,0.0,2800.0,0.0,0.0
Barium Hexaboride (BaB6),4.35,2260.0,0.45,20.0,8.5,,,Non,0.0,0.0,0.0,2260.0,0.0,0.0
Barium Hydride,4.21,1200.0,0.35,1.5,18.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Barium Iodide,5.15,711.0,0.25,0.9,32.0,,,Non,0.0,0.0,0.0,711.0,0.0,0.0
Barium Nitrate,3.24,592.0,0.46499999999999997,0.55,18.0,,,Non,0.0,500.0,0.0,592.0,0.0,0.0
Barium Oxide (BaO),5.72,1920.0,0.35,12.0,14.0,,,Non,0.0,0.0,0.0,1920.0,0.0,0.0
Barium Silicate (BaSiO3),4.4,1604.0,0.35,1.5,13.0,,,Non,0.0,0.0,0.0,1604.0,0.0,0.0
Barium Stannate (BaSnO3),7.25,2000.0,0.25,2.5,8.0,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0
Barium Titanate,6.02,1625.0,0.44,2.75,11.0,,,Non,0.0,0.0,0.0,1625.0,0.0,0.0
Barium Titanate (BaTiO3),6.02,1625.0,0.45,3.0,11.0,,,Non,0.0,0.0,0.0,1625.0,0.0,0.0
Barium Titanate (Ceramic),6.02,1625.0,0.44,2.5,11.0,,,Non,0.0,0.0,0.0,1625.0,0.0,0.0
Barium Zirconate (BaZrO3),6.21,2620.0,0.35,2.2,7.5,,,Non,0.0,0.0,0.0,2620.0,0.0,0.0
Basalt (Cast),2.95,1180.0,0.84,1.9,6.0,,,Non,0.0,0.0,0.0,1180.0,0.0,0.0
Basalt Fiber,2.65,1450.0,0.85,0.515,8.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Basalt Fiber (Continuous),2.67,1450.0,0.85,0.03,8.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Beeswax,0.96,63.0,2.5,0.2,,200.0,,HB,15.0,600.0,2.0,250.0,42.0,400.0
Benzene,0.88,5.5,1.75,0.14,-11.0,498.0,,,,0.0,,40.1,,
Benzoic Acid,1.27,122.0,1.25,0.15,121.0,570.0,,,,10.0,249.0,24.5,,
Benzoyl Peroxide,1.33,103.0,1.4,0.15,,,80.0,,,100.0,10.0,103.0,22.0,
Benzyl Alcohol,1.04,-15.0,2.15,0.16,93.0,436.0,,,,5.0,,33.5,,
Berkelium Boride (BkB4),8.95,2100.0,0.2,10.0,13.5,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0
Beryllia (High Purity),2.85,2575.0,1.05,260.0,8.0,,,Non,0.0,0.0,0.0,2575.0,0.0,0.0
Beryllium,1.85,1287.0,1.82,190.0,11.3,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0
Beryllium (I-70A),1.85,1287.0,1.92,216.0,11.3,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0
Beryllium (Metal),1.85,1287.0,1.82,200.0,11.3,,,Non,0.0,0.0,0.0,2471.0,0.0,0.0
Beryllium (S-200F),1.85,1287.0,1.82,210.0,11.3,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0
Beryllium Aluminum (AlBeMet),2.1,645.0,1.5,210.0,13.9,,,Non,0.0,0.0,0.0,645.0,0.0,0.0
Beryllium Carbide,1.9,2100.0,2.1,25.0,6.5,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0
Beryllium Copper,8.25,865.0,0.42,105.0,17.0,,,Non,0.0,0.0,0.0,865.0,0.0,0.0
Beryllium Metal,1.85,1287.0,1.82,190.0,11.5,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0
Beryllium Nickel (Alloy 440),8.41,1320.0,0.44,48.0,14.0,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0
Beryllium Oxide,2.85,2575.0,1.05,250.0,8.0,,,Non,0.0,0.0,0.0,2575.0,0.0,0.0
Beryllium Oxide (BeO),3.01,2575.0,1.02,250.0,8.0,,,Non,0.0,0.0,0.0,2575.0,0.0,0.0
Beryllium-Copper (C17200),8.25,865.0,0.42,105.0,17.0,,,Non,0.0,0.0,0.0,865.0,0.0,0.0
Bio-Glass,2.7,,0.85,1.0,15.0,,,Non,0.0,0.0,0.0,800.0,0.0,0.0
Biodiesel (B100),0.88,,2.0,0.15,,130.0,202.0,HB,16.0,600.0,5.0,320.0,38.0,350.0
Biphenyl,0.99,69.0,1.65,0.14,113.0,540.0,,,,10.0,,39.5,,
Bismaleimide (BMI),1.35,,1.125,0.22,40.0,580.0,550.0,V-0,36.0,26.0,50.0,500.0,26.0,7.5
Bismuth,9.78,271.0,0.12,7.9,13.4,,,Non,0.0,0.0,0.0,271.0,0.0,0.0
Bismuth (Metal),9.78,271.0,0.12,8.0,13.4,,,Non,0.0,0.0,0.0,271.0,0.0,0.0
Bismuth (Pure),9.78,271.0,0.12,7.9,13.4,,,,,,,,,
Bismuth Germanate (BGO),7.13,1050.0,0.3,1.2,7.0,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0
Bismuth Germanate (BGO) Crystal,7.13,1050.0,0.3,1.2,7.0,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0
Bismuth Hydride (Bismuthine),0.009,-67.0,0.25,,,,,,0.0,22.0,35.5,,,
Bismuth Oxychloride,7.72,,0.15,1.5,15.0,,,Non,0.0,0.0,0.0,700.0,0.0,0.0
Bismuth Silicide,8.55,,0.15,8.0,14.5,,,Non,0.0,0.0,0.0,550.0,0.0,0.0
Bismuth-Lead (Eutectic),10.5,124.0,0.14,12.0,18.0,,,Non,0.0,0.0,0.0,124.0,0.0,0.0
Bismuth-Tin Solder,8.56,138.0,0.18,19.0,15.0,,,Non,0.0,0.0,0.0,138.0,0.0,0.0
Bitumen (Natural),1.1,,1.75,0.16,190.0,210.0,480.0,HB,17.0,600.0,20.0,350.0,38.0,300.0
Bituminous Coal,1.3,,1.35,0.22,,,400.0,HB,22.0,400.0,60.0,450.0,30.0,200.0
Bituminous Felt,1.2,,1.6,0.19,180.0,210.0,450.0,HB,17.0,700.0,20.0,320.0,38.0,300.0
Black Powder,1.7,,0.85,0.15,,,427.0,,,100.0,10.0,300.0,3.0,
Boron Carbide,2.52,2450.0,0.95,35.0,4.75,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0
Boron Carbide (B4C),2.52,2450.0,0.95,35.0,5.0,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0
Boron Carbide (Hot Pressed),2.52,2450.0,0.95,35.0,5.0,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0
Boron Fiber,2.5,2040.0,1.2,25.0,4.5,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0
Boron Hydride (Diborane),0.001,-165.0,2.15,,-90.0,38.0,,,,0.0,-92.0,35.2,,
Boron Monel,8.3,1250.0,0.4,25.0,13.5,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Boron Monophosphide,2.97,2000.0,0.85,350.0,3.0,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0
Boron Monoxide,2.46,1450.0,1.0,0.2,5.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Boron Nitride,2.1,2973.0,0.8,30.0,1.0,,,Non,0.0,0.0,0.0,2973.0,0.0,0.0
Boron Nitride (Cubic),3.48,,0.79,740.0,3.7,,,Non,0.0,0.0,0.0,2500.0,0.0,0.0
Boron Nitride (Hexagonal),2.2,,0.8,60.0,1.0,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0
Boron Nitride (Hot Pressed),1.9,2973.0,0.8,30.0,1.0,,,Non,0.0,0.0,0.0,2973.0,0.0,0.0
Boron Powder (Amorphous),2.34,2076.0,1.02,27.0,5.0,,580.0,Non,0.0,0.0,0.0,2076.0,58.0,0.0
Boron Silicide,2.55,2000.0,0.85,35.0,4.5,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0
Boron Trioxide,1.81,450.0,1.2,0.15,15.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0
Borosilicate Glass,2.23,1260.0,0.79,1.1,3.3,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Brass (C36000),8.5,885.0,0.38,115.0,20.5,,,Non,0.0,0.0,0.0,885.0,0.0,0.0
Brass (Cartridge 70/30),8.53,954.0,0.37,120.0,19.9,,,Non,0.0,0.0,0.0,954.0,0.0,0.0
Brass (Yellow),8.47,930.0,0.37,116.0,20.3,,,Non,0.0,0.0,0.0,930.0,0.0,0.0
Brick Veneer,1.9,1100.0,0.9,0.8,6.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Brominated Epoxy,1.25,,1.1,0.22,60.0,390.0,415.0,V-0,32.0,120.0,35.0,340.0,25.0,20.0
Bromine,3.12,-7.0,0.45,0.12,,,,,,0.0,58.0,0.0,,
Bronze (Architectural),8.75,1000.0,0.38,55.0,18.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Bronze (C51000),8.86,950.0,0.38,71.0,17.8,,,Non,0.0,0.0,0.0,950.0,0.0,0.0
Butane (Liquid),0.58,-138.0,2.35,0.14,,-60.0,287.0,HB,14.0,,0.0,-0.5,45.7,
Butane (n),0.58,-138.0,2.35,0.14,-60.0,287.0,,,,0.0,,45.7,,
Butyl Acetate,0.88,-74.0,1.95,0.15,22.0,421.0,,,,0.0,,30.5,,
Butyl Rubber (IIR),0.92,,1.9249999999999998,0.15,200.0,310.0,350.0,HB,17.0,325.0,5.0,280.0,43.0,225.0
Butyl Rubber Sealant,1.25,,1.9,0.2,180.0,,350.0,HB,18.0,500.0,10.0,280.0,38.0,200.0
Butyric Acid,0.96,-8.0,2.05,0.15,72.0,443.0,,,,5.0,,24.5,,
C-129Y Niobium Alloy,8.85,2350.0,0.27,48.0,7.2,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0
CMSX-4,8.7,1330.0,0.42,12.5,12.1,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
CPVC Pipe,1.55,,1.05,0.14,65.0,,480.0,V-0,60.0,200.0,45.0,280.0,16.0,10.0
Cadmium,8.65,321.0,0.23,96.0,30.0,,,Non,0.0,0.0,0.0,321.0,0.0,0.0
Cadmium (Metal),8.65,321.0,0.23,97.0,30.0,,,Non,0.0,0.0,0.0,321.0,0.0,0.0
Cadmium Bromide,5.19,568.0,0.25,1.0,32.0,,,Non,0.0,0.0,0.0,568.0,0.0,0.0
Cadmium Chloride,4.05,568.0,0.35,1.2,30.0,,,Non,0.0,0.0,0.0,568.0,0.0,0.0
Cadmium Iodide,5.67,387.0,0.2,0.8,38.0,,,Non,0.0,0.0,0.0,387.0,0.0,0.0
Cadmium Oxide,8.15,1426.0,0.35,0.7,12.0,,,Non,0.0,0.0,0.0,1426.0,0.0,0.0
Cadmium Selenide,5.81,1240.0,0.25,4.5,5.0,,,Non,0.0,0.0,0.0,1240.0,0.0,0.0
Cadmium Silicide,7.25,800.0,0.35,10.0,14.5,,,Non,0.0,0.0,0.0,800.0,0.0,0.0
