Vanadium,6.11,1910,0.49,31,8.3,N/A,N/A,Non,0,0,0,1910,0,0,
Chromium,7.19,1907,0.45,94,4.9,N/A,N/A,Non,0,0,0,1907,0,0,
Manganese,7.21,1246,0.48,7.8,21.7,N/A,N/A,Non,0,0,0,1246,0,0,
Antimony,6.68,630,0.21,18.5,11,N/A,N/A,Non,0,0,0,630,0,0,
Bismuth,9.78,271,0.12,7.9,13.4,N/A,N/A,Non,0,0,0,271,0,0,
Cadmium,8.65,321,0.23,96,30,N/A,N/A,Non,0,0,0,321,0,0,
Tellurium,6.24,450,0.2,2.3,18,N/A,N/A,Non,0,0,0,450,0,0,
Uranium,19.1,1132,0.12,27,13.9,N/A,100,V-0,0,0,0,1132,15,200,
Tefzel (ETFE Grade),1.7,270,1.95,0.24,94,475,500,V-0,31,18,0,470,14,10,
Halar (ECTFE),1.68,240,1.1,0.15,80,450,480,V-0,52,12,20,440,16,5,
Kynar (PVDF Grade),1.77,175,1.35,0.2,110,445,470,V-0,43,22,22,460,14,10,
Polypropylene (30% Glass),1.12,166,1.45,0.22,40,340,360,HB,21.5,40,12,330,40,115,
Polyethylene (LDPE),0.92,110,2.3,0.33,200,341,350,HB,17,20,0,340,43,140,
Polyamide 6 (Nylon 6),1.13,220,1.7,0.25,80,390,420,V-2,22,35,10,400,31,70,
Polyamide 12 (Nylon 12),1.01,178,1.2,0.2,100,370,400,HB,18,40,5,380,35,100,
Polyamide 46 (Nylon 46),1.18,295,1.5,0.3,70,410,450,V-2,24,30,15,430,30,50,
Ionomer (Surlyn),0.94,95,2.1,0.24,150,320,360,HB,17.5,50,0,300,41,150,
PMP (Polymethylpentene),0.83,235,1.9,0.17,117,350,400,HB,17.1,25,0,360,44,160,
SAN (30% Glass Fiber),1.3,115,1.1,0.18,30,355,435,HB,19.5,80,15,350,34,130,
ASA Resin,1.07,105,1.3,0.17,95,375,410,HB,19,90,8,350,35,145,
PET (30% Glass Reinforced),1.56,250,1.1,0.29,22,390,470,HB,22,60,20,410,21.5,90,
PBT (30% Glass Reinforced),1.53,223,1.15,0.26,25,365,425,HB,21,50,18,390,24.5,110,
Polyaryletherketone (PAEK),1.3,340,1.3,0.24,45,560,590,V-0,36,12,52,570,29,10,
Polyarylsulfone (PAS),1.37,210,1.1,0.19,55,500,540,V-0,33,25,38,480,25,10,
PPS (40% Glass Reinforced),1.65,285,1,0.33,20,540,550,V-0,47,10,55,510,24,5,
LCP (40% Carbon Fiber),1.5,340,0.95,1.2,2,550,570,V-0,50,5,60,550,23,5,
PEI (30% Glass Reinforced),1.51,217,1.05,0.25,20,535,545,V-0,50,5,58,520,25,5,
Polyaramid Paper,0.9,N/A,1.3,0.15,25,N/A,530,V-0,28,20,45,450,26,15,
Silicone (Glass Filled),1.8,N/A,1,0.5,20,500,550,V-0,45,15,60,500,18,5,
Vinyl Ester (Glass Filled),1.85,N/A,1,0.4,25,380,430,V-0,28,120,35,380,28,25,
Phenolic (Molding Cmpd),1.6,N/A,1.1,0.45,25,550,580,V-0,45,5,65,480,20,5,
SMC (Polyester Sheet),1.9,N/A,1,0.55,18,350,400,V-0,25,160,30,350,28,30,
Epoxy (Carbon Prepreg),1.55,N/A,1.1,4.5,1,400,430,V-0,32,80,40,380,29,10,
Toughened Nylon 6,1.08,220,1.8,0.22,95,380,410,HB,20,45,8,390,32,90,
Expanded Polystyrene (EPS),0.02,240,1.3,0.03,70,345,427,HB,18,150,0,350,41,250,
Expanded Polyethylene (EPE),0.03,110,2.3,0.04,200,340,350,HB,17,60,0,340,43,200,
PVC (Flexible/Plasticized),1.3,180,1.1,0.15,100,350,420,V-2,25,400,30,250,20,60,
Fluorinated Silicone,1.45,N/A,1.1,0.22,220,450,480,V-1,33,30,40,420,19,20,
Nitrile Rubber (NBR),1.2,N/A,1.9,0.25,200,300,380,HB,18,250,15,300,36,180,
Neoprene (CR),1.25,N/A,1.8,0.19,190,320,400,V-2,26,200,25,280,25,100,
EPDM Rubber,0.9,N/A,2.1,0.25,210,300,370,HB,18.5,180,10,320,42,190,
Natural Rubber (NR),0.93,N/A,1.9,0.14,220,280,350,HB,17,200,5,280,44,220,
SBR Rubber,0.95,N/A,1.9,0.16,210,300,360,HB,17.5,220,8,300,43,210,
Butyl Rubber (IIR),0.92,N/A,1.9,0.12,200,310,360,HB,17,150,5,310,43,200,
Viton (FKM),1.85,N/A,1.2,0.22,210,480,520,V-0,50,40,35,450,15,15,
Boron Carbide,2.52,2450,0.95,35,5,N/A,N/A,Non,0,0,0,2450,0,0,
Aluminum Nitride,3.26,2200,0.78,180,4.5,N/A,N/A,Non,0,0,0,2200,0,0,
Beryllium Oxide,2.85,2575,1.05,250,8,N/A,N/A,Non,0,0,0,2575,0,0,
Cordierite,2.1,1430,0.85,3,1.5,N/A,N/A,Non,0,0,0,1430,0,0,
Mullite,2.8,1840,0.8,4,5,N/A,N/A,Non,0,0,0,1840,0,0,
Steatite,2.7,1350,0.85,3,8,N/A,N/A,Non,0,0,0,1350,0,0,
Fused Silica,2.2,1710,0.75,1.4,0.5,N/A,N/A,Non,0,0,0,1710,0,0,
Silicon Nitride,3.2,1900,0.7,30,3.3,N/A,N/A,Non,0,0,0,1900,0,0,
Tungsten Carbide,15.6,2870,0.2,100,5,N/A,N/A,Non,0,0,0,2870,0,0,
Tantalum Carbide,14.3,3880,0.15,22,6.3,N/A,N/A,Non,0,0,0,3880,0,0,
Titanium Carbide,4.93,3160,0.55,30,7.7,N/A,N/A,Non,0,0,0,3160,0,0,
Niobium Carbide,7.8,3500,0.35,14,6.6,N/A,N/A,Non,0,0,0,3500,0,0,
Vanadium Carbide,5.77,2810,0.45,12,7.2,N/A,N/A,Non,0,0,0,2810,0,0,
Hafnium Carbide,12.2,3890,0.1,20,6,N/A,N/A,Non,0,0,0,3890,0,0,
Zirconium Carbide,6.73,3540,0.3,20,6.7,N/A,N/A,Non,0,0,0,3540,0,0,
Titanium Diboride,4.52,3225,0.6,65,8.1,N/A,N/A,Non,0,0,0,3225,0,0,
Zirconium Diboride,6.09,3245,0.35,60,6.5,N/A,N/A,Non,0,0,0,3245,0,0,
Magnesium Oxide,3.58,2852,1,45,13,N/A,N/A,Non,0,0,0,2852,0,0,
Calcium Oxide,3.34,2572,0.75,15,12.5,N/A,N/A,Non,0,0,0,2572,0,0,
Beryllium Metal,1.85,1287,1.82,190,11.5,N/A,N/A,Non,0,0,0,1287,0,0,
Lithium Aluminum Silicate,2.4,1350,0.8,1.5,0.5,N/A,N/A,Non,0,0,0,1350,0,0,
Quartz (Crystalline),2.65,1670,0.75,10,13,N/A,N/A,Non,0,0,0,1670,0,0,
Sapphire,3.98,2040,0.75,35,8,N/A,N/A,Non,0,0,0,2040,0,0,
Yttria (Y2O3),5.01,2425,0.45,15,8,N/A,N/A,Non,0,0,0,2425,0,0,
Gadolinium (Pure),7.9,1313,0.23,10,9.4,N/A,N/A,Non,0,0,0,1313,0,0,
Dysprosium (Pure),8.55,1412,0.17,11,9.9,N/A,N/A,Non,0,0,0,1412,0,0,
Erbium (Pure),9.07,1529,0.16,14,12.2,N/A,N/A,Non,0,0,0,1529,0,0,
Holmium (Pure),8.8,1474,0.16,16,11.2,N/A,N/A,Non,0,0,0,1474,0,0,
Lutetium (Pure),9.84,1663,0.15,16,9.9,N/A,N/A,Non,0,0,0,1663,0,0,
Scandium (Pure),2.99,1541,0.57,15,10.2,N/A,N/A,Non,0,0,0,1541,0,0,
Yttrium (Pure),4.47,1522,0.3,17,10.6,N/A,N/A,Non,0,0,0,1522,0,0,
Terbium (Pure),8.23,1356,0.18,11,10.3,N/A,N/A,Non,0,0,0,1356,0,0,
Thulium (Pure),9.32,1545,0.16,17,13.3,N/A,N/A,Non,0,0,0,1545,0,0,
Ytterbium (Pure),6.9,819,0.15,35,26.3,N/A,N/A,Non,0,0,0,819,0,0,
Lanthanum (Pure),6.15,918,0.19,13,12.1,N/A,N/A,Non,0,0,0,918,0,0,
Cerium (Pure),6.77,798,0.19,11,12.6,N/A,150,HB,0,0,0,798,12,300,
Praseodymium (Pure),6.77,931,0.19,12,6.7,N/A,N/A,Non,0,0,0,931,0,0,
Neodymium (Pure),7.01,1021,0.19,16,9.6,N/A,N/A,Non,0,0,0,1021,0,0,
Samarium (Pure),7.52,1072,0.2,13,12.7,N/A,N/A,Non,0,0,0,1072,0,0,
Europium (Pure),5.24,822,0.18,14,35,N/A,N/A,Non,0,0,0,822,0,0,
Cast Steel,7.8,1450,0.5,45,12,N/A,N/A,Non,0,0,0,1450,0,0,
Malleable Iron,7.3,1200,0.5,30,12,N/A,N/A,Non,0,0,0,1200,0,0,
Wrought Iron,7.75,1530,0.45,60,12,N/A,N/A,Non,0,0,0,1530,0,0,
Tool Steel (H13),7.8,1425,0.46,24,10.4,N/A,N/A,Non,0,0,0,1425,0,0,
Tool Steel (D2),7.7,1420,0.46,20,10.1,N/A,N/A,Non,0,0,0,1420,0,0,
Stainless Steel 316,8,1390,0.5,15.9,16,N/A,N/A,Non,0,0,0,1390,0,0,
Stainless Steel 410,7.75,1480,0.46,24.9,11,N/A,N/A,Non,0,0,0,1480,0,0,
Stainless Steel 17-4 PH,7.8,1420,0.46,17.9,10.8,N/A,N/A,Non,0,0,0,1420,0,0,
Inconel 718,8.19,1300,0.43,11.4,13,N/A,N/A,Non,0,0,0,1300,0,0,
Monel 400,8.8,1325,0.43,21.8,13.9,N/A,N/A,Non,0,0,0,1325,0,0,
Haynes 25,9.13,1370,0.4,9.8,12.3,N/A,N/A,Non,0,0,0,1370,0,0,
René 41,8.25,1330,0.45,10.8,13.2,N/A,N/A,Non,0,0,0,1330,0,0,
Stellite 6,8.44,1285,0.42,14.8,11.3,N/A,N/A,Non,0,0,0,1285,0,0,
Alloy 20,8.05,1385,0.5,12.1,14.7,N/A,N/A,Non,0,0,0,1385,0,0,
Nichrome,8.4,1400,0.45,11.3,14,N/A,N/A,Non,0,0,0,1400,0,0,
Constantan,8.9,1250,0.39,19.5,14.9,N/A,N/A,Non,0,0,0,1250,0,0,
Manganin,8.4,960,0.41,22,18,N/A,N/A,Non,0,0,0,960,0,0,
Invar 36,8.05,1425,0.51,10.1,1.3,N/A,N/A,Non,0,0,0,1425,0,0,
Kovar,8.35,1450,0.44,17.3,5.1,N/A,N/A,Non,0,0,0,1450,0,0,
Elinvar,8.15,1450,0.46,12,0.5,N/A,N/A,Non,0,0,0,1450,0,0,
Bronze (C51000),8.86,950,0.38,71,17.8,N/A,N/A,Non,0,0,0,950,0,0,
Cupronickel (70/30),8.95,1170,0.38,29,16.2,N/A,N/A,Non,0,0,0,1170,0,0,
Aluminum 2024-T3,2.78,502,0.88,121,23.2,N/A,N/A,Non,0,0,0,502,0,0,
Aluminum 7075-T6,2.81,477,0.96,130,23.6,N/A,N/A,Non,0,0,0,477,0,0,
Beryllium Copper,8.25,865,0.42,105,17,N/A,N/A,Non,0,0,0,865,0,0,
Magnesium AZ91D,1.81,427,1.05,72,26,N/A,450,HB,0,0,0,427,24,220,
Polypropylene (20% Talc Filled),1.05,164,1.55,0.25,65,335,355,HB,19.5,35,10,325,39,125,
HDPE (Cross-linked/PEX),0.94,133,2.1,0.41,140,345,355,HB,18,20,2,350,43.2,115,
Nylon 6 (30% Glass Reinforced),1.36,220,1.4,0.32,28,400,430,HB,23.5,45,22,410,29,75,
Polyarylate (PAR),1.21,195,1.2,0.21,62,490,540,V-0,35,25,30,460,26.5,15,
PPSU (Polyphenylsulfone),1.29,220,1.15,0.35,55,515,560,V-0,38,15,42,530,24,10,
PEK (Polyetherketone),1.3,373,1.32,0.24,40,580,600,V-0,36,10,55,580,29,5,
PEKK (Polyetherketoneketone),1.28,305,1.3,0.25,42,575,595,V-0,40,8,58,585,28,5,
Polyethersulfone (PESU),1.37,225,1.12,0.18,54,510,550,V-0,38,20,40,520,24,10,
Polystyrene (High Impact/HIPS),1.04,225,1.4,0.14,85,340,425,HB,18,110,2,345,41,180,
Polyethylene (UHMWPE),0.94,135,2.3,0.42,150,340,350,HB,17.2,15,0,345,43.5,130,
Polyacetal (Copolymer),1.41,165,1.45,0.23,110,325,375,HB,15.5,8,0,235,22,185,
Acrylic (Impact Modified),1.15,155,1.45,0.18,80,305,435,HB,17.5,75,0,305,26.5,155,
Cellulose Propionate,1.2,190,1.55,0.22,130,285,405,HB,18.5,110,12,290,19.5,150,
Ethyl Cellulose,1.14,170,1.6,0.25,120,270,390,HB,18,100,10,280,20,165,
Fluorinated Polyimide,1.5,410,1.1,0.16,35,590,620,V-0,42,5,65,610,24,3,
Polyarylamide (PARA),1.25,235,1.4,0.25,45,420,460,HB,22,50,20,420,30,70,
Syndiotactic Polystyrene,1.01,270,1.25,0.15,65,360,440,HB,18,90,5,370,40.5,160,
TPO (Thermoplastic Olefin),0.9,160,2,0.22,110,330,360,HB,18,35,5,330,42,150,
TPV (Thermoplastic Vulcanizate),0.95,155,2.1,0.2,140,340,370,HB,18.5,45,8,340,41,140,
Ionomer (Zinc Grade),0.96,90,2.15,0.25,145,315,355,HB,17.8,55,0,305,40.5,155,
Cured Phenolic (Glass Fabric),1.85,N/A,1.05,0.5,15,570,600,V-0,55,2,70,500,18,2,
Melamine (Cellulose Filled),1.5,N/A,1.5,0.35,35,540,570,V-0,40,5,52,310,14.5,5,
Diallyl Phthalate (DAP),1.75,N/A,1.2,0.4,25,420,460,V-0,30,60,40,380,28,15,
Vinyl Ester (Carbon Filled),1.5,N/A,1.1,3.5,12,390,440,V-0,32,90,45,400,29,20,
Epoxy (Glass Filament Wound),1.95,N/A,1,0.6,12,390,420,V-0,28,100,32,360,30.5,25,
SBR Rubber (Reinforced),1.15,N/A,1.8,0.25,180,310,370,HB,18.2,230,12,310,41.5,190,
Polyisoprene (Synthetic),0.92,N/A,1.95,0.15,220,290,360,HB,17.2,210,5,290,43.8,215,
Polybutadiene Rubber,0.91,N/A,2,0.18,215,305,375,HB,17.5,190,4,300,43.5,200,
Chlorosulfonated Polyethylene,1.2,N/A,1.8,0.22,170,340,390,V-1,26,150,30,280,28,80,
Polysulfide Rubber,1.3,N/A,1.6,0.2,160,320,380,HB,19,180,35,260,24,120,
Acrylic Rubber (ACM),1.1,N/A,1.7,0.2,190,330,390,HB,18.5,140,20,310,30,140,
Silicon Carbide (Reaction Bonded),3.05,2730,0.75,110,4.2,N/A,N/A,Non,0,0,0,2730,0,0,
Zirconia (Yttria Stabilized),5.9,2700,0.45,2.5,10.5,N/A,N/A,Non,0,0,0,2700,0,0,
Aluminum Titanate,3.4,1860,0.65,1.5,1,N/A,N/A,Non,0,0,0,1860,0,0,
Magnesium Aluminate (Spinel),3.58,2135,0.85,15,7.5,N/A,N/A,Non,0,0,0,2135,0,0,
Cerium Oxide,7.2,2400,0.4,10,11.5,N/A,N/A,Non,0,0,0,2400,0,0,
Tungsten Disulfide,7.5,1250,0.3,25,8,N/A,N/A,Non,0,0,0,1250,0,0,
Molybdenum Disulfide,5.06,1185,0.4,18,9,N/A,N/A,Non,0,0,0,1185,0,0,
Boron Monel,8.3,1250,0.4,25,13.5,N/A,N/A,Non,0,0,0,1250,0,0,
Chrome-Moly Steel (4140),7.85,1425,0.47,42,12.2,N/A,N/A,Non,0,0,0,1425,0,0,
Spring Steel (1095),7.84,1420,0.48,48,11.5,N/A,N/A,Non,0,0,0,1420,0,0,
Stainless Steel 430,7.7,1450,0.46,26,10.4,N/A,N/A,Non,0,0,0,1450,0,0,
Stainless Steel 440C,7.8,1400,0.46,24,10.1,N/A,N/A,Non,0,0,0,1400,0,0,
Stainless Steel 310,7.9,1400,0.5,14,15.8,N/A,N/A,Non,0,0,0,1400,0,0,
Nitronic 60,7.6,1350,0.5,16,15.5,N/A,N/A,Non,0,0,0,1350,0,0,
Duplex SS 2205,7.8,1385,0.5,19,13.7,N/A,N/A,Non,0,0,0,1385,0,0,
Monel K-500,8.44,1315,0.42,17,13.7,N/A,N/A,Non,0,0,0,1315,0,0,
Incoloy 800H,7.94,1350,0.46,11,14.4,N/A,N/A,Non,0,0,0,1350,0,0,
Incoloy 825,8.14,1370,0.44,11,14,N/A,N/A,Non,0,0,0,1370,0,0,
Nimonic 90,8.18,1310,0.44,11,12.7,N/A,N/A,Non,0,0,0,1310,0,0,
Hastelloy X,8.22,1260,0.48,9.1,13.8,N/A,N/A,Non,0,0,0,1260,0,0,
Rene 77,8.25,1300,0.45,10,13,N/A,N/A,Non,0,0,0,1300,0,0,
Waspaloy,8.19,1330,0.45,10.5,12.2,N/A,N/A,Non,0,0,0,1330,0,0,
MP35N,8.43,1315,0.5,11.2,12.8,N/A,N/A,Non,0,0,0,1315,0,0,
L-605 Cobalt Alloy,9.13,1330,0.4,9.5,12.3,N/A,N/A,Non,0,0,0,1330,0,0,
Stellite 21,8.33,1295,0.43,14.5,11.5,N/A,N/A,Non,0,0,0,1295,0,0,
Zirconium (702),6.51,1850,0.28,22,5.8,N/A,N/A,Non,0,0,0,1850,0,0,
Hafnium Metal,13.3,2233,0.14,23,5.9,N/A,N/A,Non,0,0,0,2233,0,0,
Vanadium Metal,6.11,1910,0.49,31,8.3,N/A,N/A,Non,0,0,0,1910,0,0,
Niobium-1% Zirconium,8.59,2410,0.27,52,7.2,N/A,N/A,Non,0,0,0,2410,0,0,
TZM Molybdenum Alloy,10.2,2617,0.25,126,5.3,N/A,N/A,Non,0,0,0,2617,0,0,
Tungsten-Heavy Alloy (90W),17,3400,0.14,110,4.8,N/A,N/A,Non,0,0,0,3400,0,0,
Tungsten-Heavy Alloy (95W),18,3410,0.13,125,4.6,N/A,N/A,Non,0,0,0,3410,0,0,
Rhenium Metal,21,3180,0.14,48,6.2,N/A,N/A,Non,0,0,0,3180,0,0,
Osmium Metal,22.6,3033,0.13,87,5.1,N/A,N/A,Non,0,0,0,3033,0,0,
Ruthenium Metal,12.4,2334,0.24,117,6.4,N/A,N/A,Non,0,0,0,2334,0,0,
Bismuth-Tin Solder,8.56,138,0.18,19,15,N/A,N/A,Non,0,0,0,138,0,0,
Lead-Free Solder (SAC305),7.37,217,0.23,58,22,N/A,N/A,Non,0,0,0,217,0,0,
Pewter (Tin-Antimony),7.28,240,0.21,30,23,N/A,N/A,Non,0,0,0,240,0,0,
Babbitt Metal (Lead-based),10,245,0.15,24,24,N/A,N/A,Non,0,0,0,245,0,0,
Babbitt Metal (Tin-based),7.39,240,0.22,35,23,N/A,N/A,Non,0,0,0,240,0,0,
Aluminum 356 (Cast),2.67,557,0.96,151,21.4,N/A,N/A,Non,0,0,0,557,0,0,
Aluminum 380 (Die Cast),2.71,538,0.96,96,21,N/A,N/A,Non,0,0,0,538,0,0,
Aluminum 5052-H32,2.68,607,0.88,138,23.8,N/A,N/A,Non,0,0,0,607,0,0,
Magnesium AZ61A,1.8,525,1.02,80,26,N/A,465,HB,0,0,0,525,24.5,210,
Magnesium ZK60A,1.83,540,1.05,120,26,N/A,480,HB,0,0,0,540,24,205,
